employee_id,department,job_level,location,hire_date,tenure_months,performance_rating,manager_id,status,is_active,exit_date,base_salary,band_min,band_mid,band_max,market_benchmark_salary,comp_to_market_ratio,band_penetration,last_merit_increase_pct,months_since_last_raise,attrition_flag,benchmark_imputed,salary_imputed,performance_imputed,salary_corrected
DF-100463,People/HR,L1 - Junior,Berlin,2024-06-03,19,5.0,DF-100564,Terminated,False,2025-04-17,35741.0,35741.0,43587.0,51432.0,46305.0,0.7719,0.0,4.1,11,1,False,False,False,False
DF-100464,Sales,L2 - Mid,London,2024-06-03,19,2.0,DF-100673,Terminated,False,2025-09-19,84777.0,69031.0,84184.0,99337.0,89180.0,0.9506,0.5196,4.4,10,1,False,False,False,False
DF-100590,People/HR,L1 - Junior,Munich,2023-03-05,34,3.0,DF-100564,Active,True,,52335.0,38149.0,46523.0,54898.0,46227.0,1.1321,0.847,1.67,23,0,False,False,False,False
DF-100041,Support,L5 - Manager,Munich,2016-07-07,114,3.0,DF-100353,Active,True,,112743.0,89309.0,108914.0,128518.0,123788.0,0.9108,0.5977,6.35,14,0,False,False,False,False
DF-100502,Engineering,L2 - Mid,Hamburg,2024-04-03,21,3.0,DF-100188,Active,True,,67306.0,67306.0,82080.0,96854.0,82080.0,0.82,0.0,3.0,16,0,True,False,False,False
DF-100436,People/HR,L4 - Lead,Munich,2023-12-03,25,3.0,DF-100564,Active,True,,113907.0,91558.0,111656.0,131754.0,90942.0,1.2525,0.556,5.63,12,0,False,False,False,False
DF-100674,Sales,L2 - Mid,Munich,2024-02-02,23,5.0,DF-100350,Active,True,,77791.0,64053.0,78114.0,92174.0,78546.0,0.9904,0.4885,2.2,22,0,False,False,False,False
DF-100273,Product,L3 - Senior,Berlin,2017-01-05,108,4.0,DF-100102,Active,True,,115739.0,84293.0,102796.0,121300.0,107745.0,1.0742,0.8497,3.27,12,0,False,False,False,False
DF-100242,Sales,L1 - Junior,Remote-DE,2023-10-04,27,3.0,DF-100615,Active,True,,50861.0,41213.0,50260.0,59306.0,48854.0,1.0411,0.5332,5.58,10,0,False,False,False,False
DF-100081,Engineering,L1 - Junior,Hamburg,2024-09-02,16,3.0,DF-100523,Active,True,,48776.0,48776.0,59482.0,70189.0,52387.0,0.9311,0.0,4.28,11,0,False,False,False,False
DF-100443,Data & Analytics,L1 - Junior,Munich,2024-07-03,18,4.0,DF-100545,Active,True,,66008.0,49614.0,60505.0,71395.0,63175.0,1.0448,0.7527,3.8,12,0,False,False,False,False
DF-100568,Customer Success,L2 - Mid,Remote-DE,2019-04-06,81,4.0,DF-100453,Active,True,,59579.0,49167.0,59959.0,70752.0,53115.0,1.1217,0.4824,1.18,20,0,False,False,False,False
DF-100649,Engineering,L2 - Mid,Munich,2025-07-03,6,3.0,DF-100523,Active,True,,87702.0,72223.0,88077.0,103930.0,81626.0,1.0744,0.4882,4.86,2,0,False,False,False,False
DF-100101,Support,L2 - Mid,London,2021-03-05,58,5.0,DF-100594,Terminated,False,2025-07-16,54342.0,48440.0,59073.0,69707.0,64464.0,0.843,0.2775,1.9,12,1,False,False,False,False
DF-100065,Sales,L2 - Mid,Munich,2023-09-03,28,4.0,DF-100235,Active,True,,69235.0,63386.0,77300.0,91214.0,77234.0,0.8964,0.2102,5.57,4,0,False,False,False,False
DF-100118,Data & Analytics,L1 - Junior,London,2025-06-03,7,4.0,DF-100088,Active,True,,63982.0,51137.0,62362.0,73587.0,66053.0,0.9686,0.5722,2.27,0,0,False,False,False,False
DF-100537,Marketing,L3 - Senior,Munich,2024-03-04,22,5.0,DF-100621,Terminated,False,2025-05-09,76494.0,72012.0,87819.0,103627.0,87819.0,0.871,0.1418,2.61,21,1,True,False,False,False
DF-100059,Sales,L2 - Mid,Munich,2024-01-03,24,2.0,DF-100122,Terminated,False,2025-10-16,63706.0,63278.0,77168.0,91058.0,78056.0,0.8162,0.0154,7.54,12,1,False,False,False,False
DF-100677,Engineering,L2 - Mid,Hamburg,2024-07-03,18,4.0,DF-100346,Active,True,,83000.0,64347.0,78472.0,92597.0,83458.0,0.9945,0.6603,7.29,15,0,False,False,False,False
DF-100057,Engineering,L2 - Mid,Remote-DE,2019-06-06,79,4.0,DF-100132,Active,True,,75647.0,65556.0,79946.0,94337.0,77643.0,0.9743,0.3506,7.42,0,0,False,False,False,False
DF-100019,Data & Analytics,L4 - Lead,Remote-DE,2023-11-03,26,3.0,DF-100545,Active,True,,123889.0,101276.0,123508.0,145739.0,123508.0,1.0031,0.5086,6.87,17,0,True,False,False,False
DF-100430,Customer Success,L2 - Mid,Remote-DE,2022-04-04,45,4.0,DF-100035,Active,True,,64939.0,49622.0,60515.0,71408.0,62952.0,1.0316,0.7031,5.3,9,0,False,False,False,False
DF-100060,Data & Analytics,L1 - Junior,Berlin,2025-07-03,6,5.0,DF-100233,Active,True,,62512.0,45677.0,55704.0,65731.0,54442.0,1.1482,0.8395,3.52,0,0,False,False,False,False
DF-100173,Finance,L5 - Manager,Munich,2025-01-02,12,5.0,DF-100536,Active,True,,136335.0,113280.0,138146.0,163012.0,144133.0,0.9459,0.4636,3.26,12,0,False,False,False,False
DF-100134,Customer Success,L1 - Junior,Remote-DE,2023-08-04,29,3.0,DF-100626,Active,True,,48847.0,35975.0,43872.0,51769.0,43831.0,1.1144,0.815,3.42,5,0,False,False,False,False
DF-100056,Engineering,L3 - Senior,Remote-DE,2021-07-05,54,4.0,DF-100132,Active,True,,97880.0,87365.0,106543.0,125720.0,96977.0,1.0093,0.2741,7.1,10,0,False,False,False,False
DF-100392,Support,L2 - Mid,Berlin,2023-10-04,27,3.0,DF-100322,Terminated,False,2025-04-15,53470.0,43517.0,53070.0,62623.0,54746.0,0.9767,0.5209,1.53,24,1,False,False,False,False
DF-100247,Data & Analytics,L1 - Junior,Munich,2025-07-03,6,5.0,DF-100233,Active,True,,59211.0,47708.0,58180.0,68653.0,63434.0,0.9334,0.5492,3.46,2,0,False,False,False,False
DF-100180,Engineering,L1 - Junior,Hamburg,2023-03-05,34,3.0,DF-100052,Active,True,,61628.0,49681.0,60586.0,71492.0,58210.0,1.0587,0.5478,3.62,9,0,False,False,False,False
DF-100394,Finance,L2 - Mid,Munich,2024-04-03,21,3.0,DF-100643,Terminated,False,2025-11-24,68893.0,56793.0,69260.0,81727.0,72232.0,0.9538,0.4853,1.11,32,1,False,False,False,False
DF-100343,Support,L5 - Manager,Berlin,2024-02-02,23,3.0,DF-100041,Active,True,,103303.0,81449.0,99327.0,117206.0,86904.0,1.1887,0.6112,5.38,15,0,False,False,False,False
DF-100117,Engineering,L3 - Senior,Lisbon,2022-09-03,40,4.0,DF-100523,Active,True,,93511.0,70985.0,86567.0,102149.0,86933.0,1.0757,0.7228,8.21,13,0,False,False,False,False
DF-100306,Engineering,L2 - Mid,Hamburg,2022-10-04,39,4.0,DF-100188,Active,True,,82306.0,67874.0,82773.0,97672.0,69683.0,1.1811,0.4843,1.64,16,0,False,False,False,False
DF-100161,Marketing,L1 - Junior,London,2018-02-04,95,3.0,DF-100600,Active,True,,52344.0,42613.0,51967.0,61321.0,47255.0,1.1077,0.5202,1.51,15,0,False,False,False,False
DF-100504,Finance,L3 - Senior,Hamburg,2024-01-03,24,3.0,DF-100173,Active,True,,79958.0,69936.0,85288.0,100639.0,82856.0,0.965,0.3264,2.33,22,0,False,False,False,False
DF-100426,Customer Success,L1 - Junior,Munich,2021-12-04,49,4.0,DF-100388,Terminated,False,2025-07-05,39291.0,38520.0,46975.0,55431.0,45796.0,0.858,0.0456,2.39,29,1,False,False,False,False
DF-100314,Engineering,L2 - Mid,Berlin,2024-01-03,24,3.0,DF-100558,Active,True,,89192.0,65802.0,80246.0,94690.0,78399.0,1.1377,0.8097,4.12,10,0,False,False,False,False
DF-100379,Data & Analytics,L4 - Lead,Munich,2024-06-03,19,2.0,DF-100019,Active,True,,148218.0,117100.0,142805.0,168510.0,134419.0,1.1027,0.6053,6.88,16,0,False,False,False,False
DF-100066,Finance,L1 - Junior,Hamburg,2019-02-04,83,3.0,DF-100096,Terminated,False,2025-10-04,38899.0,37565.0,45810.0,54056.0,42851.0,0.9078,0.0809,1.92,18,1,False,False,False,False
DF-100624,Operations,L1 - Junior,London,2022-09-03,40,3.0,DF-100612,Active,True,,49469.0,40361.0,49221.0,58081.0,49221.0,1.005,0.514,4.09,10,0,True,False,False,False
DF-100301,Operations,L2 - Mid,Lisbon,2024-11-02,14,3.0,DF-100114,Active,True,,51615.0,40353.0,49211.0,58069.0,51636.0,0.9996,0.6357,5.5,10,0,False,False,False,False
DF-100600,Marketing,L4 - Lead,Remote-DE,2024-06-03,19,1.0,DF-100331,Terminated,False,2025-04-12,97324.0,81940.0,99926.0,117913.0,99044.0,0.9826,0.4277,3.73,17,1,False,False,False,False
DF-100670,Marketing,L1 - Junior,Berlin,2019-02-04,83,3.0,DF-100285,Terminated,False,2025-04-03,36441.0,36441.0,44440.0,52439.0,40931.0,0.8903,0.0,2.79,21,1,False,False,False,False
DF-100612,Operations,L6 - Director,Hamburg,2025-07-03,6,2.0,DF-100490,Active,True,,138582.0,118399.0,144389.0,170379.0,141678.0,0.9781,0.3883,7.19,0,0,False,False,False,False
DF-100159,Marketing,L2 - Mid,Munich,2024-04-03,21,4.0,DF-100175,Active,True,,60771.0,53148.0,64815.0,76482.0,61837.0,0.9828,0.3267,7.62,17,0,False,False,False,False
DF-100457,Marketing,L1 - Junior,Berlin,2024-06-03,19,3.0,DF-100291,Active,True,,42749.0,35990.0,43890.0,51790.0,42970.0,0.9949,0.4278,1.02,15,0,False,False,False,False
DF-100035,Customer Success,L4 - Lead,Hamburg,2022-01-03,48,4.0,DF-100453,Terminated,False,2025-12-01,94748.0,84454.0,102992.0,121531.0,102992.0,0.92,0.2776,0.0,5,1,True,False,False,False
DF-100637,People/HR,L2 - Mid,Berlin,2021-10-04,51,4.0,DF-100418,Active,True,,59014.0,48594.0,59261.0,69928.0,57860.0,1.0199,0.4884,0.0,12,0,False,False,False,False
DF-100092,Product,L1 - Junior,Remote-DE,2025-02-01,11,3.0,DF-100157,Active,True,,59065.0,45003.0,54881.0,64760.0,54881.0,1.0762,0.7117,0.89,7,0,True,False,False,False
DF-100172,Finance,L3 - Senior,Munich,2023-10-04,27,3.0,DF-100120,Active,True,,80529.0,74581.0,90953.0,107324.0,77226.0,1.0428,0.1817,5.11,4,0,False,False,False,False
DF-100286,Marketing,L3 - Senior,Remote-DE,2022-09-03,40,4.0,DF-100433,Active,True,,97222.0,65561.0,79952.0,94344.0,79952.0,1.216,1.1,5.87,16,0,True,False,False,False
DF-100527,Customer Success,L1 - Junior,London,2018-05-07,92,3.0,DF-100178,Terminated,False,2024-12-10,52771.0,42702.0,52076.0,61449.0,50300.0,1.0491,0.5371,6.61,14,1,False,False,False,False
DF-100427,Operations,L4 - Lead,Hamburg,2022-12-04,37,3.0,DF-100114,Terminated,False,2025-04-18,91337.0,78423.0,95638.0,112852.0,99375.0,0.9191,0.3751,1.98,21,1,False,False,False,False
DF-100604,Engineering,L3 - Senior,Lisbon,2024-11-02,14,3.0,DF-100558,Terminated,False,2025-09-08,87137.0,73189.0,89254.0,105320.0,89254.0,0.9763,0.4341,1.44,19,1,True,False,False,False
DF-100673,Sales,L5 - Manager,Berlin,2024-11-02,14,3.0,DF-100350,Active,True,,134961.0,110034.0,134188.0,158342.0,136073.0,0.9918,0.516,1.51,11,0,False,False,False,False
DF-100378,Engineering,L3 - Senior,London,2023-12-03,25,4.0,DF-100558,Active,True,,127762.0,101636.0,123947.0,146257.0,122679.0,1.0414,0.5855,4.39,2,0,False,False,False,False
DF-100666,Operations,L2 - Mid,Remote-DE,2024-07-03,18,5.0,DF-100490,Active,True,,68523.0,46208.0,56351.0,66494.0,55352.0,1.2379,1.1,3.31,8,0,False,False,False,False
DF-100069,Customer Success,L3 - Senior,Lisbon,2021-10-04,51,3.0,DF-100178,Active,True,,63602.0,57490.0,70110.0,82729.0,74306.0,0.8559,0.2422,2.19,21,0,False,False,False,False
DF-100467,Data & Analytics,L4 - Lead,Lisbon,2023-04-04,33,4.0,DF-100019,Active,True,,107612.0,89946.0,109691.0,129435.0,107887.0,0.9975,0.4474,2.15,23,0,False,False,False,False
DF-100671,Engineering,L3 - Senior,Remote-DE,2016-12-06,109,3.0,DF-100346,Active,True,,128575.0,86704.0,105736.0,124769.0,103034.0,1.2479,1.1,3.04,22,0,False,False,False,False
DF-100013,Data & Analytics,L2 - Mid,Berlin,2022-12-04,37,4.0,DF-100442,Active,True,,74318.0,61818.0,75388.0,88958.0,81013.0,0.9174,0.4606,0.85,7,0,False,False,False,False
DF-100104,Data & Analytics,L3 - Senior,Berlin,2025-09-02,4,2.0,DF-100627,Active,True,,119403.0,83452.0,101771.0,120090.0,85246.0,1.4007,0.9812,5.58,4,0,False,False,False,False
DF-100544,Data & Analytics,L2 - Mid,Remote-DE,2025-08-02,5,3.0,DF-100467,Active,True,,81200.0,60218.0,73436.0,86655.0,89928.0,0.9029,0.7937,4.46,5,0,False,False,False,False
DF-100455,Support,L3 - Senior,Remote-DE,2021-11-03,50,3.0,DF-100578,Active,True,,76105.0,56041.0,68343.0,80645.0,64935.0,1.172,0.8155,8.0,3,0,False,False,False,False
DF-100312,Sales,L2 - Mid,Munich,2012-08-08,161,5.0,DF-100350,Active,True,,84213.0,62364.0,76054.0,89744.0,76054.0,1.1073,0.798,5.25,16,0,True,False,False,False
DF-100494,Finance,L2 - Mid,Hamburg,2020-03-05,70,3.0,DF-100150,Active,True,,64285.0,52688.0,64253.0,75819.0,64253.0,1.0005,0.5014,2.03,14,0,True,False,False,False
DF-100501,Sales,L3 - Senior,Munich,2023-03-05,34,4.0,DF-100248,Terminated,False,2024-09-23,106372.0,81702.0,99636.0,117571.0,95921.0,1.109,0.6878,5.79,18,1,False,False,False,False
DF-100268,People/HR,L3 - Senior,Remote-DE,2025-01-02,12,3.0,DF-100564,Active,True,,84114.0,64270.0,78378.0,92486.0,84793.0,0.992,0.7033,0.0,10,0,False,False,False,False
DF-100259,Customer Success,L3 - Senior,Berlin,2022-10-04,39,3.0,DF-100126,Active,True,,93454.0,66973.0,81674.0,96375.0,89498.0,1.0442,0.9007,1.63,23,0,False,False,False,False
DF-100354,Customer Success,L1 - Junior,Berlin,2024-03-04,22,2.0,DF-100035,Terminated,False,2025-10-15,39072.0,36878.0,44974.0,53069.0,45907.0,0.8511,0.1355,6.67,15,1,False,False,False,False
DF-100248,Sales,L4 - Lead,Munich,2024-02-02,23,4.0,DF-100673,Terminated,False,2025-09-09,109755.0,103594.0,126334.0,149074.0,141610.0,0.7751,0.1355,2.31,11,1,False,False,False,False
DF-100658,People/HR,L4 - Lead,Munich,2024-03-04,22,3.0,DF-100129,Active,True,,99704.0,89977.0,109729.0,129480.0,105331.0,0.9466,0.2462,0.9,20,0,False,False,False,False
DF-100305,Sales,L1 - Junior,Berlin,2021-03-05,58,3.0,DF-100367,Terminated,False,2025-07-11,51127.0,41652.0,50795.0,59938.0,52289.0,0.9778,0.5182,0.0,11,1,False,False,False,False
DF-100201,Operations,L2 - Mid,Munich,2023-06-04,31,4.0,DF-100275,Active,True,,61375.0,50257.0,61289.0,72321.0,61289.0,1.0014,0.5039,4.39,5,0,True,False,False,False
DF-100085,Customer Success,L2 - Mid,Munich,2018-05-07,92,3.0,DF-100626,Active,True,,68818.0,53991.0,65843.0,77695.0,71214.0,0.9664,0.6255,1.9,17,0,False,False,False,False
DF-100661,People/HR,L2 - Mid,Hamburg,2023-08-04,29,4.0,DF-100564,Active,True,,61104.0,50438.0,61510.0,72582.0,61510.0,0.9934,0.4817,1.67,14,0,True,False,False,False
DF-100119,Sales,L1 - Junior,London,2024-11-02,14,2.0,DF-100350,Active,True,,60075.0,50541.0,61635.0,72730.0,50933.0,1.1795,0.4297,3.5,0,0,False,False,False,False
DF-100518,Sales,L2 - Mid,Remote-DE,2024-05-03,20,4.0,DF-100034,Active,True,,71790.0,57042.0,69563.0,82084.0,68656.0,1.0456,0.5889,4.97,10,0,False,False,False,False
DF-100371,Support,L1 - Junior,Lisbon,2022-11-03,38,4.0,DF-100041,Active,True,,30044.0,26369.0,32158.0,37946.0,30743.0,0.9773,0.3174,4.05,9,0,False,False,False,False
DF-100111,Operations,L1 - Junior,Munich,2019-08-06,77,5.0,DF-100490,Terminated,False,2025-10-21,35848.0,35848.0,43717.0,51587.0,40059.0,0.8949,0.0,2.01,21,1,False,False,False,False
DF-100383,Engineering,L1 - Junior,Remote-DE,2025-09-02,4,4.0,DF-100346,Active,True,,58246.0,46436.0,56629.0,66822.0,50130.0,1.1619,0.5793,0.22,4,0,False,False,False,False
DF-100349,Customer Success,L4 - Lead,Hamburg,2021-02-03,59,4.0,DF-100388,Active,True,,102437.0,86880.0,105952.0,125023.0,105952.0,0.9668,0.4079,1.95,15,0,True,False,False,False
DF-100667,Engineering,L1 - Junior,Munich,2020-07-05,66,3.0,DF-100558,Active,True,,72202.0,51250.0,62500.0,73751.0,59848.0,1.2064,0.9312,3.81,8,0,False,False,False,False
DF-100257,Product,L6 - Director,Remote-DE,2020-10-04,63,3.0,DF-100470,Active,True,,223443.0,150677.0,183753.0,216828.0,183753.0,1.216,1.1,5.19,8,0,True,False,False,False
DF-100241,Data & Analytics,L1 - Junior,Lisbon,2022-09-03,40,3.0,DF-100233,Active,True,,45581.0,37455.0,45677.0,53899.0,43803.0,1.0406,0.4942,5.1,12,0,False,False,False,False
DF-100139,Customer Success,L2 - Mid,Berlin,2016-10-06,111,5.0,DF-100388,Active,True,,67943.0,50697.0,61826.0,72955.0,56785.0,1.1965,0.7748,0.83,18,0,False,False,False,False
DF-100570,People/HR,L3 - Senior,London,2023-05-05,32,4.0,DF-100129,Active,True,,94744.0,77504.0,94517.0,111530.0,92546.0,1.0238,0.5067,3.95,10,0,False,False,False,False
DF-100068,Support,L3 - Senior,London,2022-02-03,47,5.0,DF-100676,Active,True,,88732.0,66519.0,81120.0,95722.0,81120.0,1.0938,0.7606,4.22,8,0,True,False,False,False
DF-100676,Support,L5 - Manager,Lisbon,2025-04-03,9,1.0,DF-100041,Active,True,,90971.0,69704.0,85004.0,100305.0,86214.0,1.0552,0.695,3.98,1,0,False,False,False,False
DF-100639,Support,L3 - Senior,Lisbon,2025-06-03,7,4.0,DF-100473,Active,True,,61507.0,47868.0,58375.0,68883.0,66422.0,0.926,0.649,3.31,3,0,False,False,False,False
DF-100034,Sales,L6 - Director,Remote-DE,2023-09-03,28,1.0,DF-100095,Active,True,,187070.0,145282.0,177174.0,209065.0,206041.0,0.9079,0.6552,1.31,23,0,False,False,False,False
DF-100599,Customer Success,L1 - Junior,Berlin,2020-07-05,66,4.0,DF-100617,Active,True,,46131.0,35502.0,43295.0,51088.0,45354.0,1.0171,0.682,4.14,13,0,False,False,False,False
DF-100399,Operations,L1 - Junior,Remote-DE,2025-01-02,12,3.0,DF-100123,Terminated,False,2025-10-23,35488.0,34508.0,42083.0,49657.0,40345.0,0.8796,0.0647,0.0,17,1,False,False,False,False
DF-100432,People/HR,L2 - Mid,Hamburg,2022-07-05,42,3.0,DF-100129,Active,True,,60079.0,50915.0,62092.0,73268.0,62092.0,0.9676,0.41,3.62,13,0,True,False,False,False
DF-100373,Support,L6 - Director,Remote-DE,2024-08-03,17,2.0,DF-100343,Active,True,,138791.0,103140.0,125781.0,148421.0,125607.0,1.105,0.7873,5.71,11,0,False,False,False,False
DF-100386,Data & Analytics,L2 - Mid,Munich,2020-02-04,71,4.0,DF-100442,Active,True,,79239.0,69670.0,84963.0,100257.0,90345.0,0.8771,0.3128,7.02,8,0,False,False,False,False
DF-100631,Data & Analytics,L1 - Junior,Hamburg,2025-04-03,9,3.0,DF-100548,Terminated,False,2025-10-01,51645.0,47368.0,57766.0,68164.0,56252.0,0.9181,0.2057,2.5,8,1,False,False,False,False
DF-100339,Data & Analytics,L1 - Junior,Munich,2022-03-05,46,4.0,DF-100546,Active,True,,62980.0,47928.0,58448.0,68969.0,60269.0,1.045,0.7154,5.59,14,0,False,False,False,False
DF-100404,Support,L3 - Senior,Remote-DE,2025-04-03,9,2.0,DF-100041,Active,True,,71084.0,54306.0,66227.0,78148.0,67018.0,1.0607,0.7037,4.09,0,0,False,False,False,False
DF-100442,Data & Analytics,L6 - Director,Hamburg,2024-11-02,14,3.0,DF-100467,Active,True,,174470.0,154499.0,188413.0,222328.0,161841.0,1.078,0.2944,4.57,16,0,False,False,False,False
DF-100120,Finance,L4 - Lead,Hamburg,2022-06-04,43,4.0,DF-100513,Active,True,,134231.0,92879.0,113267.0,133655.0,111658.0,1.2022,1.0141,1.07,21,0,False,False,False,False
DF-100493,Sales,L1 - Junior,Berlin,2022-04-04,45,3.0,DF-100235,Terminated,False,2025-06-11,52360.0,41727.0,50887.0,60046.0,53098.0,0.9861,0.5804,6.55,17,1,False,False,False,False
DF-100000,Finance,L2 - Mid,Lisbon,2023-01-03,36,3.0,DF-100536,Terminated,False,2024-07-22,45213.0,45213.0,55138.0,65063.0,50112.0,0.9022,0.0,2.49,13,1,False,False,False,False
DF-100195,Support,L3 - Senior,Munich,2023-01-03,36,5.0,DF-100405,Terminated,False,2025-12-01,79373.0,59472.0,72526.0,85581.0,72526.0,1.0944,0.7622,2.51,18,1,True,False,False,False
DF-100132,Engineering,L6 - Director,Berlin,2022-02-03,47,4.0,DF-100523,Active,True,,69256.0,164726.0,200886.0,237045.0,196308.0,0.3528,0.0,7.13,11,0,False,True,False,False
DF-100107,Engineering,L3 - Senior,Berlin,2025-06-03,7,3.0,DF-100346,Active,True,,96730.0,88189.0,107548.0,126907.0,107548.0,0.8994,0.2206,4.93,7,0,True,False,False,False
DF-100017,Data & Analytics,L5 - Manager,Hamburg,2023-12-03,25,4.0,DF-100546,Active,True,,185998.0,129941.0,158465.0,186989.0,156474.0,1.1887,0.9826,2.41,7,0,False,False,False,False
DF-100016,People/HR,L3 - Senior,Lisbon,2022-10-04,39,4.0,DF-100129,Active,True,,68138.0,54308.0,66230.0,78151.0,72284.0,0.9426,0.58,2.02,20,0,False,False,False,False
DF-100233,Data & Analytics,L5 - Manager,Remote-DE,2022-03-05,46,5.0,DF-100545,Active,True,,154408.0,121243.0,147857.0,174471.0,129127.0,1.1958,0.6231,7.15,17,0,False,False,False,False
DF-100415,Operations,L1 - Junior,Hamburg,2023-03-05,34,5.0,DF-100611,Active,True,,37545.0,34111.0,41599.0,49087.0,41599.0,0.9025,0.2293,6.69,12,0,True,False,False,False
DF-100082,People/HR,L3 - Senior,Remote-DE,2023-01-03,36,2.0,DF-100564,Terminated,False,2025-05-06,66320.0,64342.0,78466.0,92590.0,80606.0,0.8228,0.07,1.18,23,1,False,False,False,False
DF-100347,Operations,L1 - Junior,Munich,2020-09-04,64,2.0,DF-100275,Active,True,,43687.0,36638.0,44681.0,52723.0,45623.0,0.9576,0.4382,4.52,9,0,False,False,False,False
DF-100148,Data & Analytics,L1 - Junior,Lisbon,2023-04-04,33,3.0,DF-100548,Active,True,,41517.0,37156.0,45312.0,53468.0,45775.0,0.907,0.2673,0.27,20,0,False,False,False,False
DF-100447,Support,L3 - Senior,Berlin,2024-12-02,13,3.0,DF-100405,Active,True,,74601.0,57908.0,70619.0,83331.0,63366.0,1.1773,0.6566,4.02,7,0,False,False,False,False
DF-100531,Product,L4 - Lead,Munich,2017-05-07,104,3.0,DF-100030,Active,True,,132721.0,115371.0,140697.0,166022.0,130739.0,1.0152,0.3425,5.97,17,0,False,False,False,False
DF-100657,Product,L5 - Manager,Remote-DE,2023-02-02,35,4.0,DF-100157,Active,True,,149454.0,123895.0,151091.0,178287.0,157639.0,0.9481,0.4699,3.32,16,0,False,False,False,False
DF-100335,Sales,L1 - Junior,Hamburg,2025-03-03,10,4.0,DF-100235,Active,True,,56407.0,43752.0,53356.0,62960.0,46138.0,1.2226,0.6588,5.42,3,0,False,False,False,False
DF-100045,Engineering,L2 - Mid,Hamburg,2023-11-03,26,2.0,DF-100523,Active,True,,89723.0,67232.0,81991.0,96749.0,71480.0,1.2552,0.762,6.93,5,0,False,False,False,False
DF-100181,Sales,L2 - Mid,Munich,2020-10-04,63,4.0,DF-100034,Active,True,,81049.0,62997.0,76826.0,90654.0,78072.0,1.0381,0.6527,4.81,16,0,False,False,False,False
DF-100539,Product,L1 - Junior,Lisbon,2018-04-06,93,4.0,DF-100352,Active,True,,46224.0,38750.0,47256.0,55762.0,49162.0,0.9402,0.4393,4.3,16,0,False,False,False,False
DF-100329,Sales,L1 - Junior,Remote-DE,2021-09-04,52,3.0,DF-100615,Active,True,,56313.0,42785.0,52176.0,61568.0,52034.0,1.0822,0.7202,3.27,10,0,False,False,False,False
DF-100011,Sales,L1 - Junior,Berlin,2025-01-02,12,3.0,DF-100524,Active,True,,54501.0,43139.0,52608.0,62078.0,57997.0,0.9397,0.5999,3.42,6,0,False,False,False,False
DF-100088,Data & Analytics,L5 - Manager,Berlin,2023-10-04,27,2.0,DF-100147,Active,True,,149464.0,123002.0,150002.0,177002.0,135672.0,1.1017,0.49,1.71,19,0,False,False,False,False
DF-100361,Operations,L2 - Mid,Hamburg,2024-07-03,18,4.0,DF-100611,Active,True,,59070.0,48311.0,58916.0,69520.0,50656.0,1.1661,0.5073,2.54,10,0,False,False,False,False
DF-100358,Data & Analytics,L1 - Junior,Lisbon,2023-04-04,33,3.0,DF-100019,Active,True,,41026.0,37844.0,46151.0,54458.0,48302.0,0.8494,0.1915,1.36,18,0,False,False,False,False
