employee_id,department,job_level,location,tenure_months,performance_rating,base_salary,market_benchmark_salary,comp_to_market_ratio,months_since_last_raise,last_merit_increase_pct,risk_score,risk_band,on_watchlist
DF-100596,Customer Success,L2 - Mid,Remote-DE,19,4.0,56383.0,62002.0,0.9094,16,3.92,66.0,High,True
DF-100291,Marketing,L5 - Manager,Munich,65,3.0,115044.0,130507.0,0.8815,10,6.53,65.3,High,True
DF-100213,Engineering,L3 - Senior,Lisbon,55,5.0,83614.0,99332.0,0.8418,17,4.13,65.3,High,True
DF-100658,People/HR,L4 - Lead,Munich,22,3.0,99704.0,105331.0,0.9466,20,0.9,65.0,High,True
DF-100001,Operations,L3 - Senior,London,15,3.0,83969.0,94305.0,0.8904,13,3.83,65.0,High,True
DF-100148,Data & Analytics,L1 - Junior,Lisbon,33,3.0,41517.0,45775.0,0.907,20,0.27,65.0,High,True
DF-100177,Operations,L1 - Junior,Munich,110,4.0,40583.0,41953.0,0.9673,15,0.65,64.9,High,True
DF-100225,Support,L3 - Senior,Munich,32,3.0,69801.0,77772.0,0.8975,13,4.41,64.7,High,True
DF-100223,Support,L2 - Mid,Berlin,10,3.0,40867.0,45444.0,0.8993,2,2.79,64.6,High,True
DF-100461,Product,L2 - Mid,Remote-DE,61,2.0,60092.0,80322.0,0.7481,13,6.24,64.4,High,True
DF-100098,Finance,L1 - Junior,Hamburg,77,2.0,42195.0,47209.0,0.8938,10,7.07,63.8,High,True
DF-100529,Customer Success,L1 - Junior,Remote-DE,80,5.0,40177.0,41991.0,0.9568,14,3.31,63.7,High,True
DF-100127,Finance,L2 - Mid,Lisbon,50,3.0,52672.0,57522.0,0.9157,17,1.38,63.7,High,True
DF-100326,Product,L2 - Mid,Lisbon,38,3.0,52606.0,65679.0,0.801,5,5.49,63.4,High,True
DF-100204,Sales,L1 - Junior,Remote-DE,14,3.0,49658.0,54008.0,0.9195,18,0.0,63.0,High,True
DF-100475,Sales,L2 - Mid,Munich,28,3.0,67322.0,73132.0,0.9206,11,2.33,62.6,High,True
DF-100648,People/HR,L3 - Senior,Berlin,73,3.0,71563.0,80668.0,0.8871,13,5.95,61.3,High,True
DF-100081,Engineering,L1 - Junior,Hamburg,16,3.0,48776.0,52387.0,0.9311,11,4.28,61.0,High,True
DF-100603,Marketing,L1 - Junior,Hamburg,41,3.0,43794.0,48159.0,0.9094,14,4.97,60.2,High,True
DF-100439,Sales,L2 - Mid,Munich,23,3.0,76946.0,82311.0,0.9348,25,1.2,60.0,High,True
DF-100572,Customer Success,L1 - Junior,Remote-DE,100,5.0,41016.0,43319.0,0.9468,12,5.64,60.0,High,True
DF-100349,Customer Success,L4 - Lead,Hamburg,59,4.0,102437.0,105952.0,0.9668,15,1.95,59.8,High,True
DF-100330,People/HR,L1 - Junior,Remote-DE,27,4.0,40335.0,44462.0,0.9072,10,2.43,59.7,High,True
DF-100154,Marketing,L4 - Lead,Munich,6,4.0,107348.0,131359.0,0.8172,0,3.21,59.6,High,True
DF-100466,Sales,L1 - Junior,Munich,90,3.0,48786.0,51048.0,0.9557,13,4.27,59.6,High,True
DF-100504,Finance,L3 - Senior,Hamburg,24,3.0,79958.0,82856.0,0.965,22,2.33,59.6,High,True
DF-100485,Support,L2 - Mid,Berlin,54,2.0,50256.0,56790.0,0.8849,7,5.18,59.4,High,True
DF-100503,Sales,L1 - Junior,Berlin,35,3.0,44006.0,46871.0,0.9389,10,1.75,59.2,High,True
DF-100315,Product,L3 - Senior,London,15,3.0,114330.0,127058.0,0.8998,18,4.4,59.0,High,True
DF-100444,Support,L2 - Mid,Berlin,28,3.0,46968.0,50227.0,0.9351,17,5.53,59.0,High,True
DF-100279,Marketing,L3 - Senior,London,40,4.0,93647.0,96468.0,0.9708,26,1.0,58.8,High,True
DF-100415,Operations,L1 - Junior,Hamburg,34,5.0,37545.0,41599.0,0.9025,12,6.69,58.5,High,True
DF-100136,Product,L2 - Mid,Remote-DE,12,3.0,67093.0,77200.0,0.8691,4,3.07,58.3,High,True
DF-100616,Data & Analytics,L1 - Junior,Munich,6,3.0,59484.0,68586.0,0.8673,5,3.54,58.0,High,True
DF-100258,Operations,L1 - Junior,Lisbon,49,2.0,34877.0,38199.0,0.913,10,2.11,58.0,High,True
DF-100075,Product,L5 - Manager,Munich,5,4.0,148771.0,168510.0,0.8829,5,3.96,57.9,High,True
DF-100021,Customer Success,L3 - Senior,Munich,3,3.0,83290.0,89897.0,0.9265,3,3.14,57.1,High,True
DF-100607,Support,L2 - Mid,London,25,5.0,56109.0,61496.0,0.9124,5,4.36,56.8,High,True
DF-100074,Operations,L2 - Mid,Berlin,22,4.0,54599.0,59003.0,0.9254,15,3.4,56.7,High,True
DF-100190,Sales,L3 - Senior,London,35,2.0,114220.0,119182.0,0.9584,19,1.04,56.7,High,True
DF-100080,Support,L2 - Mid,Munich,32,5.0,54192.0,55025.0,0.9849,19,0.79,56.6,High,False
DF-100458,Operations,L6 - Director,Hamburg,93,4.0,131498.0,135917.0,0.9675,11,2.33,56.6,High,False
DF-100209,Engineering,L1 - Junior,Lisbon,22,2.0,44445.0,47683.0,0.9321,14,6.78,56.3,High,False
DF-100542,People/HR,L2 - Mid,Hamburg,50,3.0,58938.0,63292.0,0.9312,17,2.82,56.2,High,False
DF-100332,People/HR,L2 - Mid,London,93,4.0,60640.0,62518.0,0.97,10,3.65,56.1,High,False
DF-100396,Data & Analytics,L2 - Mid,Hamburg,27,3.0,74408.0,78275.0,0.9506,20,1.62,55.8,High,False
DF-100282,Product,L1 - Junior,Remote-DE,50,3.0,53009.0,64765.0,0.8185,10,5.76,55.5,High,False
DF-100277,Marketing,L3 - Senior,Berlin,38,3.0,74402.0,78917.0,0.9428,16,5.25,55.5,High,False
DF-100672,Product,L1 - Junior,Hamburg,49,2.0,57212.0,58582.0,0.9766,21,1.4,55.5,High,False
DF-100038,Operations,L3 - Senior,Remote-DE,35,3.0,77507.0,85446.0,0.9071,10,1.24,55.4,High,False
DF-100051,People/HR,L2 - Mid,Berlin,42,3.0,53618.0,58603.0,0.9149,9,6.0,54.7,High,False
DF-100072,People/HR,L4 - Lead,Berlin,11,1.0,97289.0,98793.0,0.9848,13,0.63,54.5,High,False
DF-100003,Sales,L2 - Mid,Munich,52,4.0,69615.0,71667.0,0.9714,17,2.87,54.2,High,False
DF-100202,Marketing,L4 - Lead,Lisbon,121,3.0,88990.0,91211.0,0.9756,16,2.04,54.1,High,False
DF-100429,Support,L2 - Mid,Remote-DE,43,3.0,47140.0,50525.0,0.933,13,6.36,53.9,High,False
DF-100047,Engineering,L1 - Junior,Berlin,91,3.0,55451.0,59586.0,0.9306,8,6.87,53.8,High,False
DF-100506,Marketing,L1 - Junior,Lisbon,3,5.0,33276.0,35302.0,0.9426,3,4.47,53.7,High,False
DF-100110,Product,L1 - Junior,Lisbon,126,5.0,43249.0,43726.0,0.9891,19,1.29,53.7,High,False
DF-100310,Operations,L2 - Mid,Berlin,54,3.0,50356.0,54246.0,0.9283,11,7.54,53.6,High,False
DF-100381,Finance,L3 - Senior,London,44,4.0,88928.0,96125.0,0.9251,1,2.63,53.1,High,False
DF-100302,Product,L3 - Senior,Lisbon,56,2.0,80483.0,93171.0,0.8638,12,4.53,53.1,High,False
DF-100371,Support,L1 - Junior,Lisbon,38,4.0,30044.0,30743.0,0.9773,9,4.05,53.0,High,False
DF-100065,Sales,L2 - Mid,Munich,28,4.0,69235.0,77234.0,0.8964,4,5.57,52.6,High,False
DF-100601,Data & Analytics,L3 - Senior,Remote-DE,50,4.0,96033.0,109491.0,0.8771,7,3.46,52.5,High,False
DF-100386,Data & Analytics,L2 - Mid,Munich,71,4.0,79239.0,90345.0,0.8771,8,7.02,52.4,High,False
DF-100307,Sales,L3 - Senior,London,21,4.0,93601.0,99300.0,0.9426,10,5.45,52.3,High,False
DF-100070,Engineering,L1 - Junior,Hamburg,94,4.0,56731.0,54716.0,1.0368,22,1.88,51.4,High,False
DF-100025,Data & Analytics,L1 - Junior,Remote-DE,72,4.0,50579.0,50527.0,1.001,16,0.71,51.2,High,False
DF-100165,Data & Analytics,L2 - Mid,Hamburg,62,5.0,74505.0,81779.0,0.9111,12,0.0,51.2,High,False
DF-100457,Marketing,L1 - Junior,Berlin,19,3.0,42749.0,42970.0,0.9949,15,1.02,51.2,High,False
DF-100615,Sales,L4 - Lead,Lisbon,5,2.0,94354.0,98708.0,0.9559,5,6.44,50.9,High,False
DF-100605,Support,L2 - Mid,Lisbon,20,3.0,42917.0,45054.0,0.9526,7,4.08,50.8,High,False
DF-100563,Data & Analytics,L2 - Mid,Berlin,28,2.0,69256.0,69120.0,1.002,26,0.35,50.5,High,False
DF-100012,Support,L1 - Junior,Lisbon,110,3.0,31823.0,32658.0,0.9744,16,2.22,50.1,High,False
DF-100539,Product,L1 - Junior,Lisbon,93,4.0,46224.0,49162.0,0.9402,16,4.3,50.0,High,False
DF-100013,Data & Analytics,L2 - Mid,Berlin,37,4.0,74318.0,81013.0,0.9174,7,0.85,49.3,Moderate,False
DF-100115,Sales,L1 - Junior,Munich,23,5.0,57103.0,59698.0,0.9565,13,2.53,49.1,Moderate,False
DF-100034,Sales,L6 - Director,Remote-DE,28,1.0,187070.0,206041.0,0.9079,23,1.31,49.1,Moderate,False
DF-100446,Product,L2 - Mid,Hamburg,40,4.0,71164.0,76996.0,0.9243,12,5.08,49.0,Moderate,False
DF-100513,Finance,L4 - Lead,Remote-DE,83,4.0,101861.0,104265.0,0.9769,11,3.99,48.8,Moderate,False
DF-100634,Data & Analytics,L2 - Mid,Hamburg,32,2.0,74137.0,81203.0,0.913,5,3.74,48.7,Moderate,False
DF-100460,Engineering,L2 - Mid,Munich,8,5.0,88322.0,95096.0,0.9288,3,0.9,48.6,Moderate,False
DF-100370,Sales,L2 - Mid,Hamburg,43,3.0,69184.0,76110.0,0.909,11,5.93,48.6,Moderate,False
DF-100419,Marketing,L4 - Lead,Hamburg,26,3.0,109726.0,117852.0,0.931,17,7.2,48.4,Moderate,False
DF-100598,Customer Success,L1 - Junior,Hamburg,70,3.0,42188.0,42530.0,0.992,5,7.02,48.2,Moderate,False
DF-100448,Support,L2 - Mid,Lisbon,38,4.0,41788.0,41493.0,1.0071,21,2.31,47.9,Moderate,False
DF-100574,Engineering,L1 - Junior,Hamburg,43,3.0,60868.0,60487.0,1.0063,17,10.4,47.8,Moderate,False
DF-100432,People/HR,L2 - Mid,Hamburg,42,3.0,60079.0,62092.0,0.9676,13,3.62,47.6,Moderate,False
DF-100579,Marketing,L6 - Director,Lisbon,144,3.0,122269.0,128799.0,0.9493,11,6.23,47.4,Moderate,False
DF-100479,Product,L5 - Manager,Lisbon,58,4.0,120929.0,137273.0,0.8809,14,10.68,47.2,Moderate,False
DF-100571,Sales,L1 - Junior,Remote-DE,10,1.0,49319.0,49924.0,0.9879,6,6.47,47.1,Moderate,False
DF-100116,Support,L3 - Senior,Munich,20,4.0,73188.0,78049.0,0.9377,10,7.44,47.0,Moderate,False
DF-100347,Operations,L1 - Junior,Munich,64,2.0,43687.0,45623.0,0.9576,9,4.52,46.9,Moderate,False
DF-100249,Operations,L2 - Mid,Munich,65,2.0,57882.0,55322.0,1.0463,20,1.3,46.9,Moderate,False
DF-100484,Product,L2 - Mid,Hamburg,51,5.0,75432.0,81275.0,0.9281,9,2.58,46.9,Moderate,False
DF-100531,Product,L4 - Lead,Munich,104,3.0,132721.0,130739.0,1.0152,17,5.97,46.8,Moderate,False
DF-100159,Marketing,L2 - Mid,Munich,21,4.0,60771.0,61837.0,0.9828,17,7.62,46.4,Moderate,False
DF-100263,Product,L1 - Junior,Hamburg,11,3.0,53063.0,54229.0,0.9785,11,2.47,46.3,Moderate,False
DF-100062,People/HR,L2 - Mid,Remote-DE,51,3.0,57755.0,62102.0,0.93,10,3.33,46.1,Moderate,False
DF-100391,Data & Analytics,L2 - Mid,London,94,3.0,86738.0,90991.0,0.9533,9,3.94,45.3,Moderate,False
DF-100341,Support,L2 - Mid,Munich,7,4.0,53276.0,55256.0,0.9642,0,5.46,45.2,Moderate,False
DF-100303,Finance,L2 - Mid,Lisbon,34,2.0,50509.0,53198.0,0.9495,2,3.41,45.2,Moderate,False
DF-100491,Operations,L2 - Mid,Munich,60,4.0,58370.0,62619.0,0.9321,12,3.7,44.9,Moderate,False
DF-100178,Customer Success,L4 - Lead,Berlin,37,4.0,98826.0,97589.0,1.0127,12,3.73,44.7,Moderate,False
DF-100589,Sales,L1 - Junior,Hamburg,87,2.0,52875.0,51109.0,1.0346,15,6.0,44.6,Moderate,False
DF-100199,Customer Success,L2 - Mid,Munich,5,3.0,64759.0,65301.0,0.9917,5,3.77,44.5,Moderate,False
DF-100041,Support,L5 - Manager,Munich,114,3.0,112743.0,123788.0,0.9108,14,6.35,44.4,Moderate,False
DF-100328,Data & Analytics,L1 - Junior,Remote-DE,80,4.0,50806.0,47211.0,1.0761,28,0.57,44.4,Moderate,False
DF-100076,Marketing,L3 - Senior,Remote-DE,16,1.0,75443.0,74311.0,1.0152,22,3.15,44.4,Moderate,False
DF-100207,Data & Analytics,L2 - Mid,Berlin,40,3.0,78313.0,84257.0,0.9295,16,5.59,44.3,Moderate,False
DF-100612,Operations,L6 - Director,Hamburg,6,2.0,138582.0,141678.0,0.9781,0,7.19,44.0,Moderate,False
DF-100173,Finance,L5 - Manager,Munich,12,5.0,136335.0,144133.0,0.9459,12,3.26,43.9,Moderate,False
DF-100451,Sales,L2 - Mid,Munich,40,3.0,74051.0,73443.0,1.0083,18,2.29,43.8,Moderate,False
DF-100597,Finance,L1 - Junior,Hamburg,55,4.0,49466.0,52007.0,0.9511,17,4.62,43.7,Moderate,False
DF-100674,Sales,L2 - Mid,Munich,23,5.0,77791.0,78546.0,0.9904,22,2.2,43.6,Moderate,False
DF-100161,Marketing,L1 - Junior,London,95,3.0,52344.0,47255.0,1.1077,15,1.51,43.6,Moderate,False
DF-100160,Support,L1 - Junior,Remote-DE,13,3.0,33986.0,33605.0,1.0113,5,5.88,43.5,Moderate,False
DF-100428,Product,L2 - Mid,London,20,3.0,85530.0,87294.0,0.9798,6,1.2,43.4,Moderate,False
DF-100640,Customer Success,L2 - Mid,London,22,3.0,68283.0,66959.0,1.0198,12,4.27,43.4,Moderate,False
DF-100568,Customer Success,L2 - Mid,Remote-DE,81,4.0,59579.0,53115.0,1.1217,20,1.18,43.3,Moderate,False
DF-100336,Customer Success,L2 - Mid,Remote-DE,40,4.0,57629.0,55920.0,1.0306,16,9.45,43.3,Moderate,False
DF-100106,People/HR,L1 - Junior,Hamburg,14,1.0,42714.0,39214.0,1.0893,28,3.12,43.2,Moderate,False
DF-100564,People/HR,L5 - Manager,Munich,90,3.0,124888.0,119838.0,1.0421,18,0.0,42.7,Moderate,False
DF-100519,Customer Success,L1 - Junior,Remote-DE,59,4.0,43969.0,43021.0,1.022,25,1.38,42.6,Moderate,False
DF-100462,Product,L1 - Junior,Munich,24,2.0,60409.0,60518.0,0.9982,14,2.1,42.4,Moderate,False
DF-100657,Product,L5 - Manager,Remote-DE,35,4.0,149454.0,157639.0,0.9481,16,3.32,42.4,Moderate,False
DF-100221,Sales,L3 - Senior,London,30,3.0,112172.0,116736.0,0.9609,17,2.26,42.2,Moderate,False
DF-100534,Data & Analytics,L3 - Senior,Hamburg,46,3.0,99738.0,102549.0,0.9726,18,6.12,42.1,Moderate,False
DF-100016,People/HR,L3 - Senior,Lisbon,39,4.0,68138.0,72284.0,0.9426,20,2.02,42.1,Moderate,False
DF-100664,Finance,L3 - Senior,Remote-DE,93,5.0,85177.0,82503.0,1.0324,22,0.85,42.1,Moderate,False
DF-100048,Customer Success,L2 - Mid,Munich,25,3.0,67726.0,73238.0,0.9247,11,5.1,41.8,Moderate,False
DF-100227,Operations,L2 - Mid,Remote-DE,46,3.0,59101.0,61726.0,0.9575,19,2.9,41.6,Moderate,False
DF-100669,Product,L1 - Junior,Lisbon,91,3.0,45229.0,43753.0,1.0337,15,3.23,41.6,Moderate,False
DF-100416,Engineering,L2 - Mid,Munich,91,3.0,88518.0,96083.0,0.9213,16,5.78,41.6,Moderate,False
DF-100393,Customer Success,L3 - Senior,Lisbon,115,3.0,68568.0,68566.0,1.0,0,4.85,41.5,Moderate,False
DF-100434,Data & Analytics,L3 - Senior,Remote-DE,59,4.0,86936.0,85333.0,1.0188,17,1.34,41.5,Moderate,False
DF-100622,Operations,L2 - Mid,Munich,18,4.0,60903.0,64875.0,0.9388,10,8.04,41.5,Moderate,False
DF-100498,Product,L6 - Director,Remote-DE,37,5.0,183358.0,200680.0,0.9137,8,7.72,41.4,Moderate,False
DF-100494,Finance,L2 - Mid,Hamburg,70,3.0,64285.0,64253.0,1.0005,14,2.03,41.3,Moderate,False
DF-100085,Customer Success,L2 - Mid,Munich,92,3.0,68818.0,71214.0,0.9664,17,1.9,41.3,Moderate,False
DF-100239,Data & Analytics,L2 - Mid,Lisbon,72,4.0,63825.0,68882.0,0.9266,12,5.53,41.2,Moderate,False
DF-100362,People/HR,L2 - Mid,Lisbon,13,4.0,45535.0,46101.0,0.9877,6,1.07,41.0,Moderate,False
DF-100228,Support,L2 - Mid,Munich,36,3.0,58582.0,60563.0,0.9673,14,7.07,41.0,Moderate,False
DF-100188,Engineering,L5 - Manager,Hamburg,27,3.0,138500.0,139045.0,0.9961,10,1.63,40.9,Moderate,False
DF-100467,Data & Analytics,L4 - Lead,Lisbon,33,4.0,107612.0,107887.0,0.9975,23,2.15,40.6,Moderate,False
DF-100262,Sales,L2 - Mid,London,47,3.0,85378.0,87209.0,0.979,11,3.54,40.6,Moderate,False
DF-100124,Product,L2 - Mid,Lisbon,61,3.0,62762.0,62708.0,1.0009,19,1.38,40.6,Moderate,False
DF-100086,Engineering,L1 - Junior,Lisbon,41,4.0,52549.0,54279.0,0.9681,16,0.0,40.4,Moderate,False
DF-100246,Support,L4 - Lead,Lisbon,54,3.0,73072.0,73654.0,0.9921,7,3.92,40.3,Moderate,False
DF-100008,Product,L3 - Senior,Berlin,6,5.0,98877.0,102708.0,0.9627,0,2.21,40.2,Moderate,False
DF-100208,Support,L1 - Junior,Munich,71,2.0,46240.0,40009.0,1.1557,29,1.08,40.1,Moderate,False
DF-100614,Support,L2 - Mid,Hamburg,25,4.0,51721.0,49952.0,1.0354,22,2.63,39.9,Moderate,False
DF-100040,Product,L6 - Director,Berlin,43,4.0,191967.0,200203.0,0.9589,11,1.25,39.9,Moderate,False
DF-100385,Finance,L1 - Junior,Remote-DE,24,2.0,49466.0,52874.0,0.9355,17,10.74,39.6,Moderate,False
DF-100057,Engineering,L2 - Mid,Remote-DE,79,4.0,75647.0,77643.0,0.9743,0,7.42,39.5,Moderate,False
DF-100472,Data & Analytics,L1 - Junior,London,13,4.0,59453.0,55498.0,1.0713,26,2.26,39.3,Moderate,False
DF-100203,Marketing,L1 - Junior,Munich,26,3.0,47408.0,47843.0,0.9909,9,1.41,39.1,Moderate,False
DF-100010,Sales,L2 - Mid,Munich,39,2.0,74564.0,71282.0,1.046,23,1.49,39.0,Moderate,False
DF-100077,Operations,L2 - Mid,Remote-DE,188,5.0,57670.0,58374.0,0.9879,9,6.14,38.9,Moderate,False
DF-100440,Marketing,L3 - Senior,London,2,4.0,95721.0,97283.0,0.9839,2,5.36,38.7,Moderate,False
DF-100247,Data & Analytics,L1 - Junior,Munich,6,5.0,59211.0,63434.0,0.9334,2,3.46,38.7,Moderate,False
DF-100548,Data & Analytics,L5 - Manager,Munich,39,4.0,144470.0,143590.0,1.0061,15,1.43,38.7,Moderate,False
DF-100602,Finance,L2 - Mid,Remote-DE,50,3.0,59045.0,61575.0,0.9589,4,5.18,38.5,Moderate,False
DF-100015,Finance,L2 - Mid,Lisbon,19,5.0,53676.0,54381.0,0.987,11,1.75,38.4,Moderate,False
DF-100150,Finance,L5 - Manager,Hamburg,7,5.0,126287.0,129220.0,0.9773,0,5.7,38.3,Moderate,False
DF-100183,Operations,L2 - Mid,Munich,50,3.0,62392.0,62569.0,0.9972,14,2.62,38.3,Moderate,False
DF-100197,Engineering,L1 - Junior,Lisbon,13,3.0,45463.0,45586.0,0.9973,5,4.87,38.2,Moderate,False
DF-100558,Engineering,L5 - Manager,Lisbon,19,5.0,135307.0,132823.0,1.0187,24,1.92,38.2,Moderate,False
DF-100469,Engineering,L1 - Junior,London,22,4.0,69107.0,62412.0,1.1073,16,5.12,38.1,Moderate,False
DF-100661,People/HR,L2 - Mid,Hamburg,29,4.0,61104.0,61510.0,0.9934,14,1.67,38.1,Moderate,False
DF-100292,Sales,L1 - Junior,Remote-DE,21,2.0,52827.0,54831.0,0.9635,13,5.61,38.0,Moderate,False
DF-100026,People/HR,L6 - Director,London,31,3.0,176419.0,171902.0,1.0263,14,7.14,37.5,Moderate,False
DF-100390,Engineering,L2 - Mid,Munich,44,3.0,88120.0,95689.0,0.9209,18,3.72,37.5,Moderate,False
DF-100019,Data & Analytics,L4 - Lead,Remote-DE,26,3.0,123889.0,123508.0,1.0031,17,6.87,37.5,Moderate,False
DF-100264,Data & Analytics,L2 - Mid,Munich,70,4.0,77561.0,81129.0,0.956,6,5.29,37.3,Moderate,False
DF-100352,Product,L4 - Lead,Munich,44,2.0,138020.0,133937.0,1.0305,18,1.83,36.3,Moderate,False
DF-100546,Data & Analytics,L5 - Manager,Berlin,76,4.0,147823.0,150328.0,0.9833,11,3.07,36.2,Moderate,False
DF-100210,Finance,L1 - Junior,Berlin,26,3.0,49448.0,48300.0,1.0238,27,1.46,36.1,Moderate,False
DF-100382,Engineering,L2 - Mid,Remote-DE,25,2.0,82221.0,81368.0,1.0105,26,2.48,36.1,Moderate,False
DF-100071,Product,L1 - Junior,Remote-DE,32,2.0,56074.0,50653.0,1.107,24,2.4,36.0,Moderate,False
DF-100224,Product,L2 - Mid,Hamburg,42,4.0,75544.0,79226.0,0.9535,8,4.27,35.6,Moderate,False
DF-100056,Engineering,L3 - Senior,Remote-DE,54,4.0,97880.0,96977.0,1.0093,10,7.1,35.5,Moderate,False
DF-100489,Data & Analytics,L3 - Senior,Munich,17,5.0,111019.0,115282.0,0.963,19,0.13,35.4,Moderate,False
DF-100624,Operations,L1 - Junior,London,40,3.0,49469.0,49221.0,1.005,10,4.09,35.3,Moderate,False
DF-100442,Data & Analytics,L6 - Director,Hamburg,14,3.0,174470.0,161841.0,1.078,16,4.57,34.5,Moderate,False
DF-100407,Engineering,L3 - Senior,Lisbon,39,3.0,86674.0,85488.0,1.0139,13,6.37,34.4,Moderate,False
DF-100453,Customer Success,L6 - Director,Hamburg,50,2.0,164541.0,138944.0,1.1842,10,5.45,34.1,Moderate,False
DF-100220,Marketing,L2 - Mid,Hamburg,33,4.0,62786.0,67086.0,0.9359,4,6.26,34.1,Moderate,False
DF-100626,Customer Success,L4 - Lead,Berlin,42,4.0,106003.0,102001.0,1.0392,22,1.6,34.1,Moderate,False
DF-100377,Product,L1 - Junior,Hamburg,65,5.0,56015.0,53333.0,1.0503,16,4.06,33.8,Moderate,False
DF-100647,People/HR,L2 - Mid,Hamburg,44,3.0,65407.0,66741.0,0.98,19,1.39,33.5,Moderate,False
DF-100338,Sales,L3 - Senior,Hamburg,50,3.0,95523.0,96589.0,0.989,12,5.14,33.2,Moderate,False
DF-100002,Operations,L4 - Lead,London,44,3.0,121280.0,118048.0,1.0274,26,1.36,33.2,Moderate,False
DF-100679,Operations,L6 - Director,Berlin,39,4.0,139094.0,130660.0,1.0645,17,4.6,33.1,Moderate,False
DF-100214,Finance,L1 - Junior,Remote-DE,88,3.0,49457.0,51480.0,0.9607,11,5.16,33.1,Moderate,False
DF-100544,Data & Analytics,L2 - Mid,Remote-DE,5,3.0,81200.0,89928.0,0.9029,5,4.46,33.0,Moderate,False
DF-100259,Customer Success,L3 - Senior,Berlin,39,3.0,93454.0,89498.0,1.0442,23,1.63,32.9,Moderate,False
DF-100355,Product,L2 - Mid,Remote-DE,9,3.0,70100.0,69198.0,1.013,2,5.45,32.7,Moderate,False
DF-100639,Support,L3 - Senior,Lisbon,7,4.0,61507.0,66422.0,0.926,3,3.31,32.5,Moderate,False
DF-100488,Engineering,L3 - Senior,Munich,36,5.0,120353.0,119771.0,1.0049,13,2.86,32.5,Moderate,False
DF-100287,Marketing,L1 - Junior,London,20,2.0,53659.0,51004.0,1.0521,30,1.47,32.4,Moderate,False
DF-100118,Data & Analytics,L1 - Junior,London,7,4.0,63982.0,66053.0,0.9686,0,2.27,32.4,Moderate,False
DF-100172,Finance,L3 - Senior,Munich,27,3.0,80529.0,77226.0,1.0428,4,5.11,32.2,Moderate,False
DF-100093,Support,L1 - Junior,Hamburg,41,5.0,40524.0,39049.0,1.0378,17,0.0,32.2,Moderate,False
